epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8714,3.08633,0.00028,2.61282,0.00018,0.03846,0.00011,3e-05,3.77988,0.08092,3.21208,0.0672946,3.27381e-05,3.27381e-05
2,122.691,2.31308,0.00018,2.17861,0.04953,0.13616,0.03481,0.0124,2.54349,0.02812,2.36661,0.0339946,6.60708e-05,6.60708e-05
3,166.152,2.18188,0.00018,2.13562,0.50329,0.11897,0.08419,0.02952,2.398,0.00036,2.37735,0.000694639,9.94009e-05,9.94009e-05
4,208.776,2.12306,0.00018,2.10831,0.08824,0.25321,0.06828,0.02686,2.4248,0.00031,2.22405,9.99912e-05,9.99912e-05,9.99912e-05
5,251.544,2.06012,0.00018,2.06001,0.16136,0.28521,0.15081,0.06715,2.26761,0.00022,2.22047,9.99844e-05,9.99844e-05,9.99844e-05
6,294.417,2.0238,0.00018,2.0254,0.1488,0.22661,0.14803,0.06118,2.44907,0.00018,2.37844,9.99756e-05,9.99756e-05,9.99756e-05
7,337.543,2.00335,0.00018,1.99539,0.15022,0.24441,0.14212,0.06204,2.26242,0.00017,2.0868,9.99648e-05,9.99648e-05,9.99648e-05
8,381.142,1.96203,0.00018,1.96628,0.29343,0.17632,0.21241,0.10371,2.21917,0.00017,2.09649,9.99521e-05,9.99521e-05,9.99521e-05
9,423.448,1.92597,0.00018,1.96159,0.13208,0.31787,0.15496,0.06956,2.15654,0.00018,2.08959,9.99375e-05,9.99375e-05,9.99375e-05
10,465.901,1.88369,0.00018,1.92348,0.13015,0.26113,0.13904,0.06343,2.1379,0.00019,2.12894,9.99209e-05,9.99209e-05,9.99209e-05
11,508.732,1.88555,0.00018,1.90769,0.14787,0.29036,0.15625,0.07131,2.1275,0.00018,2.12147,9.99023e-05,9.99023e-05,9.99023e-05
12,553.611,1.86874,0.00018,1.89873,0.20261,0.23331,0.16096,0.07301,2.11907,0.00018,2.0391,9.98818e-05,9.98818e-05,9.98818e-05
13,600.14,1.86004,0.00018,1.89323,0.13136,0.32706,0.14735,0.06292,2.13831,0.00018,2.08205,9.98594e-05,9.98594e-05,9.98594e-05
14,643.926,1.8222,0.00018,1.86529,0.13355,0.37409,0.17294,0.07946,2.12158,0.00018,2.13035,9.9835e-05,9.9835e-05,9.9835e-05
15,688.651,1.79591,0.00018,1.85088,0.25319,0.28935,0.15492,0.06894,2.09431,0.00018,2.10103,9.98086e-05,9.98086e-05,9.98086e-05
16,733.358,1.79326,0.00018,1.85922,0.12769,0.26604,0.14327,0.06217,2.07168,0.00018,2.1045,9.97803e-05,9.97803e-05,9.97803e-05
17,777.988,1.77489,0.00018,1.83592,0.14096,0.36095,0.16427,0.07514,2.07963,0.0002,2.08853,9.97501e-05,9.97501e-05,9.97501e-05
18,820.596,1.77617,0.00018,1.83801,0.19263,0.38963,0.2218,0.0929,2.10171,0.00017,2.04942,9.97179e-05,9.97179e-05,9.97179e-05
19,865,1.76007,0.00018,1.83555,0.1968,0.43377,0.24953,0.1019,2.06619,0.00017,2.07633,9.96838e-05,9.96838e-05,9.96838e-05
20,911.343,1.73941,0.00018,1.81126,0.28874,0.31899,0.24527,0.11259,2.04956,0.00017,2.05364,9.96477e-05,9.96477e-05,9.96477e-05
21,957.167,1.74889,0.00018,1.8183,0.3278,0.28717,0.21003,0.0984,2.06906,0.00017,2.05931,9.96097e-05,9.96097e-05,9.96097e-05
22,1001.47,1.71854,0.00018,1.79183,0.2824,0.27847,0.2342,0.10063,2.07524,0.00017,2.00117,9.95697e-05,9.95697e-05,9.95697e-05
23,1047.63,1.6972,0.00018,1.77658,0.34199,0.26765,0.2129,0.09336,2.068,0.0002,2.0516,9.95278e-05,9.95278e-05,9.95278e-05
24,1095.05,1.70737,0.00018,1.79338,0.3876,0.32889,0.21398,0.08522,2.05579,0.00024,2.1045,9.9484e-05,9.9484e-05,9.9484e-05
25,1140.06,1.69408,0.00018,1.77465,0.25364,0.40586,0.27751,0.13626,2.05919,0.00017,2.02276,9.94383e-05,9.94383e-05,9.94383e-05
26,1185.24,1.68459,0.00018,1.75859,0.23839,0.34076,0.22057,0.09764,2.05458,0.0002,2.10664,9.93906e-05,9.93906e-05,9.93906e-05
27,1231.21,1.68545,0.00018,1.76748,0.2306,0.31181,0.22307,0.10242,2.07816,0.00018,2.10879,9.9341e-05,9.9341e-05,9.9341e-05
28,1277.36,1.6617,0.00018,1.7573,0.27794,0.38042,0.2707,0.10707,2.07012,0.00017,2.06082,9.92894e-05,9.92894e-05,9.92894e-05
29,1323.76,1.64716,0.00018,1.74199,0.16667,0.38643,0.20283,0.09549,2.05009,0.00018,2.06213,9.92359e-05,9.92359e-05,9.92359e-05
30,1369.2,1.63917,0.00018,1.74138,0.23741,0.38353,0.23023,0.10338,2.03539,0.00018,2.07099,9.91805e-05,9.91805e-05,9.91805e-05
31,1414.21,1.619,0.00017,1.72626,0.23809,0.40384,0.25717,0.11458,2.03636,0.00017,2.02938,9.91232e-05,9.91232e-05,9.91232e-05
32,1460.65,1.6188,0.00017,1.71576,0.29511,0.36551,0.30598,0.12332,2.05228,0.00016,2.0531,9.9064e-05,9.9064e-05,9.9064e-05
33,1507.09,1.59593,0.00018,1.71085,0.31245,0.37087,0.26521,0.11578,2.07443,0.00019,2.05954,9.90028e-05,9.90028e-05,9.90028e-05
34,1552.95,1.59322,0.00017,1.68996,0.17404,0.40519,0.2076,0.0865,2.05648,0.00021,2.0663,9.89398e-05,9.89398e-05,9.89398e-05
35,1598.45,1.57292,0.00017,1.69549,0.25597,0.3248,0.24608,0.0984,2.09753,0.00017,2.10187,9.88748e-05,9.88748e-05,9.88748e-05
36,1642.85,1.54977,0.00017,1.66702,0.24211,0.36264,0.25475,0.11107,2.09716,0.00019,2.0851,9.88079e-05,9.88079e-05,9.88079e-05
37,1689.4,1.55191,0.00017,1.67504,0.32197,0.36244,0.28571,0.12837,2.06252,0.00017,2.10364,9.87391e-05,9.87391e-05,9.87391e-05
38,1735.88,1.55285,0.00017,1.66906,0.27261,0.3927,0.29952,0.13331,2.07298,0.00016,2.09827,9.86684e-05,9.86684e-05,9.86684e-05
39,1781.5,1.53884,0.00017,1.65995,0.24,0.44561,0.26879,0.11539,2.06064,0.00017,2.1073,9.85958e-05,9.85958e-05,9.85958e-05
40,1826.22,1.51922,0.00017,1.64377,0.30923,0.33362,0.28187,0.11516,2.0646,0.00016,2.09989,9.85213e-05,9.85213e-05,9.85213e-05
41,1873.86,1.52657,0.00017,1.6366,0.30431,0.34731,0.27083,0.1147,2.07279,0.00017,2.04788,9.84449e-05,9.84449e-05,9.84449e-05
42,1920.62,1.51816,0.00017,1.6336,0.28982,0.33867,0.26366,0.11496,2.05719,0.00017,2.10071,9.83666e-05,9.83666e-05,9.83666e-05
