step	mAP50(B)
0	0.16755
1	0.2003
2	0.06229
3	0.13716
4	0.14381
5	0.17307
6	0.24083
7	0.21967
8	0.16883
9	0.19645
10	0.20665
11	0.23693
12	0.25813
13	0.25506
14	0.21779
15	0.24695
16	0.25016
17	0.25115
18	0.26203
19	0.2602
20	0.28201
21	0.27896
22	0.2585
23	0.29075
24	0.28036
25	0.3505
26	0.33977
27	0.30351
28	0.26995
29	0.29105
30	0.36353
31	0.27388
32	0.29881
33	0.29135
34	0.33402
35	0.37165
36	0.31516
37	0.29945
38	0.37414
39	0.36678
40	0.35798
41	0.3611
42	0.39859
43	0.33192
44	0.42573
45	0.35395
46	0.37673
47	0.39246
48	0.37977
49	0.35521
50	0.34338
51	0.35397
52	0.43687
53	0.38652
54	0.402
55	0.38362
56	0.42087
57	0.38854
58	0.42226
59	0.36208
60	0.38315
61	0.30696
62	0.40717
63	0.36702
64	0.37147
65	0.36601
66	0.35073
67	0.38784
68	0.35353
69	0.41914
70	0.35828
71	0.35998
72	0.41251
73	0.41655
74	0.40731
75	0.42457
76	0.3988
77	0.42674
78	0.41842
79	0.45832
80	0.42909
81	0.41737
82	0.42953
83	0.43951
84	0.4282
85	0.44455
86	0.45673
87	0.436
88	0.40591
89	0.43676
90	0.43766
91	0.43755
92	0.43584
93	0.40373
94	0.41437
95	0.41792
96	0.45319
97	0.42809
98	0.41276
99	0.41242
100	0.41163
101	0.44146
102	0.4439
103	0.41349
104	0.42402
105	0.41793
106	0.41747
107	0.41449
108	0.41858
109	0.40373
110	0.40612
111	0.40086
112	0.39876
113	0.40494
114	0.42595
115	0.42018
116	0.42313
