step	mAP50-95(B)
0	0.05723
1	0.06671
2	0.01235
3	0.02383
4	0.04907
5	0.06217
6	0.04067
7	0.07201
8	0.05579
9	0.07482
10	0.09626
11	0.12087
12	0.1041
13	0.10087
14	0.11798
15	0.11115
16	0.1237
17	0.12175
18	0.12054
19	0.12881
20	0.12755
21	0.12009
22	0.12469
23	0.12282
24	0.11794
25	0.13576
26	0.13732
27	0.13333
28	0.13197
29	0.1344
30	0.13452
31	0.14098
32	0.13601
33	0.15887
34	0.16699
35	0.17089
36	0.14718
37	0.14502
38	0.15288
39	0.13747
40	0.14522
41	0.14384
42	0.14578
43	0.15145
44	0.15702
45	0.15174
46	0.14998
47	0.14522
48	0.16979
49	0.15376
50	0.15885
51	0.156
52	0.16027
53	0.1751
54	0.18571
55	0.15503
56	0.15935
57	0.16449
58	0.15554
59	0.15559
60	0.17126
61	0.15695
62	0.15484
63	0.15393
64	0.15664
65	0.16354
66	0.155
67	0.15627
68	0.16498
69	0.16546
70	0.17627
71	0.16746
72	0.17033
73	0.16702
74	0.16505
75	0.1678
76	0.16805
77	0.19244
78	0.1714
79	0.16292
80	0.16737
81	0.16908
82	0.16463
83	0.1637
84	0.17477
85	0.16793
86	0.17035
87	0.17094
88	0.17204
89	0.16675
90	0.16727
91	0.16801
92	0.16712
93	0.16889
94	0.16828
95	0.16866
96	0.17056
97	0.17254
98	0.17278
99	0.17139
100	0.17115
101	0.17126
102	0.17193
103	0.17079
104	0.1709
105	0.17106
106	0.17291
107	0.17193
