step	precision(B)
0	0.19228
1	0.20315
2	0.05272
3	0.21046
4	0.1963
5	0.21018
6	0.1781
7	0.19977
8	0.1944
9	0.27879
10	0.31918
11	0.34139
12	0.33119
13	0.33461
14	0.40381
15	0.34651
16	0.39171
17	0.35831
18	0.3806
19	0.39541
20	0.3817
21	0.37147
22	0.4036
23	0.39241
24	0.34813
25	0.42692
26	0.4288
27	0.40312
28	0.38443
29	0.39169
30	0.40829
31	0.42944
32	0.42456
33	0.45598
34	0.53414
35	0.53478
36	0.44029
37	0.44511
38	0.44115
39	0.38375
40	0.41685
41	0.41242
42	0.41915
43	0.44017
44	0.44028
45	0.43191
46	0.42815
47	0.40681
48	0.49993
49	0.42759
50	0.43326
51	0.42347
52	0.44615
53	0.50842
54	0.5267
55	0.43337
56	0.4364
57	0.50264
58	0.41505
59	0.43215
60	0.47069
61	0.44257
62	0.42081
63	0.40339
64	0.41984
65	0.44125
66	0.39602
67	0.40238
68	0.42541
69	0.5075
70	0.50915
71	0.51532
72	0.54047
73	0.4494
74	0.4204
75	0.43284
76	0.42848
77	0.51675
78	0.50771
79	0.40896
80	0.41933
81	0.47746
82	0.44459
83	0.41033
84	0.51128
85	0.42545
86	0.42599
87	0.42553
88	0.42321
89	0.41346
90	0.41191
91	0.40788
92	0.40774
93	0.41033
94	0.40719
95	0.40001
96	0.40885
97	0.40972
98	0.40872
99	0.41179
100	0.4123
101	0.41554
102	0.41498
103	0.41996
104	0.41778
105	0.41953
106	0.42121
107	0.41995
