step	recall(B)
0	0.12095
1	0.15562
2	0.08917
3	0.0802
4	0.05533
5	0.11027
6	0.06072
7	0.18882
8	0.1383
9	0.11443
10	0.14902
11	0.2454
12	0.17069
13	0.14104
14	0.17937
15	0.22484
16	0.19179
17	0.20889
18	0.20445
19	0.21423
20	0.19109
21	0.20849
22	0.17331
23	0.20127
24	0.17664
25	0.19915
26	0.19396
27	0.21889
28	0.22315
29	0.22912
30	0.18761
31	0.18859
32	0.19795
33	0.25654
34	0.23604
35	0.22433
36	0.22677
37	0.20041
38	0.21322
39	0.24702
40	0.22857
41	0.22206
42	0.23432
43	0.22545
44	0.23018
45	0.2393
46	0.24752
47	0.24871
48	0.25688
49	0.23181
50	0.26753
51	0.26767
52	0.25842
53	0.27573
54	0.26824
55	0.2838
56	0.26917
57	0.30025
58	0.28292
59	0.27955
60	0.29926
61	0.25235
62	0.28368
63	0.28449
64	0.28956
65	0.27632
66	0.28914
67	0.30479
68	0.31021
69	0.3071
70	0.32748
71	0.31126
72	0.29936
73	0.31491
74	0.29386
75	0.29897
76	0.31837
77	0.32374
78	0.32224
79	0.31724
80	0.31696
81	0.32867
82	0.32902
83	0.32244
84	0.32097
85	0.31922
86	0.32983
87	0.32943
88	0.32825
89	0.33182
90	0.32717
91	0.3288
92	0.33028
93	0.33544
94	0.3346
95	0.33669
96	0.35089
97	0.35271
98	0.35154
99	0.34964
100	0.34708
101	0.34916
102	0.34984
103	0.3512
104	0.35112
105	0.35097
106	0.35374
107	0.35464
