step	box_loss
0	2.3588
1	1.8662
2	1.91973
3	1.99665
4	1.92371
5	1.82164
6	1.73102
7	1.67022
8	1.58842
9	1.51453
10	1.45401
11	1.39988
12	1.36134
13	1.28558
14	1.24265
15	1.19861
16	1.15418
17	1.14323
18	1.11049
19	1.07445
20	1.07786
21	1.04028
22	1.00329
23	0.99502
24	0.97943
25	0.97022
26	0.95846
27	0.92008
28	0.93052
29	0.90397
30	0.89497
31	0.88367
32	0.8748
33	0.85423
34	0.85163
35	0.85093
36	0.83218
37	0.83649
38	0.82724
39	0.81838
40	0.80315
41	0.80024
42	0.78691
43	0.79054
44	0.79033
45	0.78055
46	0.76277
47	0.78243
48	0.7524
49	0.75776
50	0.73941
51	0.73589
52	0.73702
53	0.74518
54	0.7343
55	0.73295
56	0.70792
57	0.71565
58	0.72403
59	0.73483
60	0.70453
61	0.69775
62	0.70514
63	0.69861
64	0.70323
65	0.70966
66	0.69048
67	0.68492
68	0.67344
69	0.68988
70	0.66687
71	0.68585
72	0.68374
73	0.6685
74	0.68244
75	0.67058
76	0.67561
77	0.66759
78	0.66331
79	0.65954
80	0.66644
81	0.65821
82	0.65731
83	0.65005
84	0.67243
85	0.64836
86	0.65129
87	0.6339
88	0.64285
89	0.63923
90	0.6399
91	0.64971
92	0.63948
93	0.64
94	0.6389
95	0.6383
96	0.63011
97	0.64393
98	0.62185
99	0.61796
100	0.61486
101	0.62866
102	0.63799
103	0.61643
104	0.61934
105	0.61051
106	0.61823
107	0.60663
