step	cls_loss
0	3.19978
1	1.84617
2	1.63658
3	1.76023
4	1.49047
5	1.31419
6	1.17313
7	1.08401
8	1.01858
9	0.9222
10	0.90167
11	0.83941
12	0.81197
13	0.79102
14	0.78437
15	0.73885
16	0.72622
17	0.70483
18	0.67705
19	0.67068
20	0.67314
21	0.6408
22	0.63809
23	0.63195
24	0.63539
25	0.60322
26	0.60201
27	0.60368
28	0.59537
29	0.58381
30	0.57543
31	0.57784
32	0.57588
33	0.56353
34	0.5662
35	0.55756
36	0.54631
37	0.54337
38	0.53393
39	0.53622
40	0.53294
41	0.52455
42	0.52183
43	0.50056
44	0.51114
45	0.5097
46	0.50427
47	0.50662
48	0.50809
49	0.49304
50	0.49792
51	0.49611
52	0.48952
53	0.49061
54	0.48408
55	0.47304
56	0.48385
57	0.47111
58	0.47893
59	0.46982
60	0.46992
61	0.46357
62	0.45714
63	0.45811
64	0.45206
65	0.45117
66	0.45266
67	0.44479
68	0.45793
69	0.45609
70	0.44699
71	0.45229
72	0.44196
73	0.44816
74	0.43643
75	0.43949
76	0.43606
77	0.44208
78	0.43636
79	0.42466
80	0.42109
81	0.42611
82	0.42718
83	0.42708
84	0.42434
85	0.42516
86	0.43116
87	0.42261
88	0.41603
89	0.4156
90	0.42301
91	0.41071
92	0.41179
93	0.40831
94	0.40229
95	0.4112
96	0.40316
97	0.41269
98	0.39951
99	0.40777
100	0.38881
101	0.4051
102	0.4021
103	0.39353
104	0.39889
105	0.39398
106	0.40197
107	0.38973
108	0.38048
109	0.38168
110	0.38531
111	0.38364
112	0.38923
113	0.38488
114	0.38985
115	0.38077
116	0.37507
