step	dfl_loss
0	2.21673
1	1.75187
2	1.79451
3	1.8856
4	1.81151
5	1.76151
6	1.71084
7	1.65316
8	1.59807
9	1.55915
10	1.51822
11	1.46697
12	1.42486
13	1.40109
14	1.3625
15	1.32254
16	1.31135
17	1.29647
18	1.25463
19	1.24904
20	1.24223
21	1.22325
22	1.21422
23	1.18756
24	1.19643
25	1.18444
26	1.1662
27	1.15849
28	1.1358
29	1.13651
30	1.14441
31	1.11919
32	1.11974
33	1.10421
34	1.10187
35	1.10461
36	1.08754
37	1.09754
38	1.09775
39	1.07987
40	1.07679
41	1.07995
42	1.06918
43	1.07025
44	1.06773
45	1.06594
46	1.06157
47	1.05358
48	1.04926
49	1.06411
50	1.06003
51	1.05009
52	1.05016
53	1.03625
54	1.03969
55	1.04485
56	1.0278
57	1.03341
58	1.03427
59	1.03229
60	1.03877
61	1.02192
62	1.01879
63	1.03004
64	1.02036
65	1.02034
66	1.02512
67	1.01589
68	1.02776
69	1.01961
70	1.02123
71	1.01414
72	1.01602
73	1.01241
74	1.00791
75	1.01442
76	1.00512
77	1.00546
78	1.00518
79	1.00112
80	1.00695
81	1.00197
82	1.00423
83	1.00499
84	1.00606
85	0.99712
86	0.99768
87	1.00504
88	1.00007
89	0.99689
90	0.99996
91	0.99586
92	1.00414
93	1.00165
94	0.9908
95	0.99507
96	0.98879
97	0.99378
98	0.98786
99	0.98933
100	0.98749
101	0.98401
102	0.98487
103	0.99378
104	0.99354
105	0.98487
106	0.98469
107	0.98903
